epoch,ber_8,ber_16,ber_20,ber_32
1,0.406005859375,0.41162109375,0.406005859375,0.4140625
2,0.4267578125,0.411376953125,0.42041015625,0.401611328125
3,0.406005859375,0.4072265625,0.40234375,0.406494140625
4,0.4150390625,0.4140625,0.409423828125,0.409423828125
5,0.40185546875,0.416748046875,0.413818359375,0.41259765625
6,0.40185546875,0.413818359375,0.421630859375,0.406982421875
7,0.41015625,0.412109375,0.416748046875,0.413818359375
8,0.412841796875,0.387451171875,0.410888671875,0.408447265625
9,0.406005859375,0.425048828125,0.40673828125,0.412109375
10,0.404296875,0.4013671875,0.419677734375,0.41064453125
11,0.4228515625,0.408203125,0.407958984375,0.409912109375
12,0.40771484375,0.410888671875,0.416015625,0.409423828125
13,0.41357421875,0.40673828125,0.42333984375,0.42138671875
14,0.400146484375,0.40966796875,0.4052734375,0.414306640625
15,0.425048828125,0.412353515625,0.4091796875,0.408935546875
16,0.42138671875,0.41455078125,0.401611328125,0.401611328125
17,0.40673828125,0.422607421875,0.404052734375,0.408203125
18,0.404052734375,0.41064453125,0.412353515625,0.420166015625
19,0.419921875,0.42138671875,0.41845703125,0.419677734375
20,0.410400390625,0.405517578125,0.41796875,0.396240234375
21,0.410400390625,0.40625,0.420654296875,0.396484375
22,0.40478515625,0.42578125,0.4052734375,0.416259765625
23,0.407470703125,0.4287109375,0.412353515625,0.41796875
24,0.416748046875,0.41259765625,0.412353515625,0.413330078125
25,0.409912109375,0.407958984375,0.4111328125,0.407958984375
26,0.41796875,0.416015625,0.4072265625,0.40185546875
27,0.41064453125,0.429443359375,0.43017578125,0.405517578125
28,0.411376953125,0.41259765625,0.41064453125,0.424560546875
29,0.40771484375,0.417236328125,0.4013671875,0.4130859375
30,0.395751953125,0.407958984375,0.402587890625,0.410400390625
31,0.42626953125,0.41259765625,0.41162109375,0.42822265625
32,0.422119140625,0.4140625,0.407470703125,0.421630859375
33,0.4091796875,0.40673828125,0.41650390625,0.40234375
34,0.403564453125,0.412353515625,0.411865234375,0.413330078125
35,0.402099609375,0.410888671875,0.413330078125,0.41943359375
36,0.40283203125,0.41162109375,0.414794921875,0.40283203125
37,0.409423828125,0.403564453125,0.4169921875,0.4189453125
